iter	Passed	Remaining
401	15308	22771
402	15324	22701
403	15334	22622
404	15342	22540
405	15348	22455
406	15353	22370
407	15359	22286
408	15364	22201
409	15370	22118
410	15389	22054
411	15438	22033
412	15444	21950
413	15449	21867
414	15455	21786
415	15460	21703
416	15465	21621
417	15480	21554
418	15503	21498
419	15523	21436
420	15582	21430
421	15639	21420
422	15664	21367
423	15684	21307
424	15695	21235
425	15781	21264
426	15817	21226
427	15836	21164
428	15875	21130
429	15908	21088
430	15939	21042
431	15974	21003
432	15980	20926
433	16011	20881
434	16050	20846
435	16077	20796
436	16085	20722
437	16141	20711
438	16172	20666
439	16193	20610
440	16262	20613
441	16285	20559
442	16320	20520
443	16342	20465
444	16352	20394
445	16391	20360
446	16423	20318
447	16446	20264
448	16471	20212
449	16478	20140
450	16505	20092
451	16530	20040
452	16574	20014
453	16629	19999
454	16650	19944
455	16710	19934
456	16720	19867
457	16761	19835
458	16801	19803
459	16828	19754
460	16841	19691
461	16868	19643
462	16894	19594
463	16906	19530
464	16912	19458
465	16935	19406
466	16962	19359
467	16991	19315
468	17008	19256
469	17013	19185
470	17030	19127
471	17035	19056
472	17041	18987
473	17071	18944
474	17091	18890
475	17109	18835
476	17139	18792
477	17160	18739
478	17185	18692
479	17222	18657
480	17248	18610
481	17275	18565
482	17295	18512
483	17300	18444
484	17326	18398
485	17349	18349
486	17415	18344
487	17446	18304
488	17474	18260
489	17491	18205
490	17496	18138
491	17502	18072
492	17509	18006
493	17515	17940
494	17535	17889
495	17565	17848
496	17632	17845
497	17728	17871
498	17773	17844
499	17787	17787
500	17838	17767
501	17845	17702
502	17884	17670
503	17907	17623
504	17929	17574
505	17936	17511
506	17941	17446
507	17947	17382
508	17979	17344
509	17987	17282
510	17992	17217
511	18034	17189
512	18059	17144
513	18079	17094
514	18091	17037
515	18098	16975
516	18122	16930
517	18147	16886
518	18187	16856
519	18193	16794
520	18198	16731
521	18203	16668
522	18207	16606
523	18212	16544
524	18223	16488
525	18228	16426
526	18236	16368
527	18246	16311
528	18271	16267
529	18298	16227
530	18326	16186
533	18058	15759
534	18103536	18098	15604
537	181536	18167538	181537	18188	15619
538	18221	15584
539	18290	15581
540	18317	15540
541	18343	15500
542	18354	15447
543	18379	15406
544	18428	15384
545	18453	15344
546	18491	15314
547	18519	15275
548	18551	15239
549	18587	15207
550	18614	15168
551	18640	15128
552	18691	15108
553	18742	15088
554	18755	15038
555	18769	14988
556	18792	14946
557	18839	14922
558	18858	14877
559	18905	14854
560	18917	14803
561	18941	14762
562	18969	14723
563	18996	14685
564	19051	14667
565	19084	14633
566	19117	14599
567	19149	14564
568	19181	14529
569	19218	14497
570	19294	14496
571	19338	14470
572	19345	14416
573	19382	14384
