iter	Logloss
0	0.6634623442
1	0.6388489049
2	0.6173939301
3	0.6022789298
4	0.5848849578
5	0.5688210494
6	0.5430258046
7	0.5278592666
8	0.5144317767
9	0.4956204831
10	0.4826226485
11	0.4693104899
12	0.46242078
13	0.4510253627
14	0.4388932985
15	0.428850187
16	0.4191623923
17	0.4109477168
18	0.3998189267
19	0.39178802
20	0.3840131607
21	0.3732287235
22	0.36679772
23	0.3587582237
24	0.3518570959
25	0.345902432
26	0.341713458
27	0.3364694975
28	0.3293788395
29	0.3231995886
30	0.3187795678
31	0.3141566436
32	0.3102112515
33	0.3056494671
34	0.2991238732
35	0.2950004386
36	0.2896751212
37	0.2873799304
38	0.2846248112
39	0.2790841947
40	0.2760390712
41	0.2713574861
42	0.2682014308
43	0.2645766129
44	0.259880677
45	0.255763318
46	0.2529424323
47	0.2500823172
48	0.24748642
49	0.2447110314
50	0.2407217309
51	0.2378082101
52	0.2360693541
53	0.2343030183
54	0.2310075913
55	0.2291444128
56	0.2268895339
57	0.2243994532
58	0.2226797492
59	0.2210591925
60	0.218737168
61	0.2160033481
62	0.2144678321
63	0.2123902799
64	0.2103712837
65	0.2090438738
66	0.2079183199
67	0.2065539851
68	0.2047422221
69	0.2034437935
70	0.2023967507
71	0.2071	0.198372	0.1990815955
73	0.1970514258
74	0.1952633716
75	0.1941245841
76	0.1925727268
77	0.1916749723
78	0.1907609289
79	0.189774415
80	0.1885837232
81	0.187669418
82	0.18682	0.18383	0.1852007414
84	0.1836127449
85	0.1824094131
86	0.1815782455
87	0.1807037807
88	0.1797167955
89	0.1788116211
90	0.17790	0.1744968929
91	0.1737797648
92	0.1731409557
93	0.1724138762
94	0.1717644349
95	0.1708103066
96	0.1699817404
97	0.1689956979
98	0.1682926937
99	0.1671322751
100	0.165824087
101	0.1651818387
102	0.1644551083
103	0.1637269812
104	0.1631026977
105	0.1624277669
106	0.161882466
107	0.1612261111
108	0.159864238
109	0.1589926015
110	0.1581034017
111	0.157350047
112	0.1563671819
113	0.1553960665
114	0.1548633357
115	0.1539363032
116	0.1531080512
117	0.1520544964
118	0.151402384
119	0.1504013795
1120	0.1504667094
121	0.1499519959
122	0.149466543
123	0.1486286713
124	0.1483031389
125	0.1474288487
126	0.1470504865
127	0.146657564
128	0.1457903358
129	0.1451760299
130	0.1443939296
131	0.1440716095
132	0.1434765429
133	0.1430606798
134	0.1425631543
135	0.1418328274
136	0.141520223
137	0.1409995911
138	0.1402234878
139	0.1398947779
140	0.1391980588
141	0.1387546548
142	0.138639952
143	0.1380023563
144	0.1375472813
